,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_299,45.69999999999891,4.099000000000046,0,2521,0,0,0,40876,64330,153944474,115265118,29674355,289724,52911059,1059330,488688,1035
run_300,49.69999999999891,0.0,0,2500,0,0,0,40805,63044,154254320,102740628,24381093,265559,52341822,1390781,388409,665
run_301,49.29999999999927,0.0,0,2533,0,0,0,40383,64860,155348795,107796135,26707125,271062,52199814,1262986,418432,1312
run_302,45.29999999999927,3.800999999999931,0,2448,0,0,0,40288,63508,153904546,113464515,28939033,278999,52669935,1103058,457673,600
run_303,49.399999999999636,0.0,0,2511,0,0,0,40556,63698,155165835,103072201,25121507,265894,52306068,1361524,376661,1057
run_304,49.399999999999636,0.0,0,2434,0,0,0,40425,62792,155355470,108510989,27032417,269203,52518458,1267583,421244,591
run_305,45.70000000000073,3.8239999999999554,0,2544,0,0,0,40601,63786,152282718,114439140,29166245,284734,52723926,1096311,473673,1630
run_306,45.399999999999636,4.08400000000006,0,2452,0,0,0,40573,64126,161779252,115077332,30057877,280503,52884792,994862,504773,608
run_307,45.70000000000073,3.865000000000009,0,2523,0,0,0,40623,64454,154687405,104912954,26417863,269267,52399804,1553518,368027,1064
run_308,44.600000000000364,4.038999999999987,0,2502,0,0,1,39917,63044,155421570,111994563,28251879,278194,52327263,1368487,421616,289
run_309,49.400000000001455,0.08000000000004093,0,2534,0,1,0,40539,64928,164480833,115265390,30119059,290858,52694496,956290,516300,717
run_310,49.5,0.0,0,2446,0,0,0,40622,63300,155695312,107294515,26831682,264930,52447695,1291040,401777,641
run_311,49.5,0.0,0,2550,0,0,0,40738,64056,151371253,112477117,28782581,289413,52751786,1165684,459050,691
