run,bpe_token_time_ms,model_load_time_ms,instructions,cpu_cycles,branch_instr,branch_miss,l1d_access,l1d_miss,l3_access,l3_miss
198,35.2891,49.78,9587140,30688265,,8270,24493141,727011,45222,1687
199,58.481,51.1599,9431104,40945152,,47273,14424912,459600,41837,16217
200,35.228,51.894,8844491,33121002,,8350,20549308,604931,55557,16577
201,35.47,50.563,10035215,31961689,,8175,22771801,622423,48684,14874
202,56.6731,50.137,9782911,41935591,,48394,14534079,451389,43162,16366
203,35.2451,51.9941,9570822,31109337,,7940,25900460,765506,48995,1612
204,35.4851,53.031,9399555,32810630,,8133,21387464,630611,51695,18941
205,59.334,48.219,9636982,41411133,,47336,14415804,456039,44372,17424
206,35.303,50.707,10122184,31319153,,7818,22686652,659043,51306,11248
207,35.4009,50.7002,9897176,31220730,,7967,24263518,710543,49192,1919
208,56.7312,52.2659,10024549,42205231,,50488,14340194,470636,44227,17363
209,35.105,52.55,9905413,30494645,,7997,24081456,716345,48391,3350
210,35.1509,50.999,10575155,30750004,,8560,26489206,768243,48214,1344
211,55.7842,52.281,9391634,39179891,,5692,15706224,436884,44716,15388
212,35.239,51.2219,9521364,30742163,,8421,24720060,732578,50761,1809
